出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","3489","森寶","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120313","102521",""
"1120831","3490","單井","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120328","181339",""
"1120831","3491","昇達科","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120426","175421",""
"1120831","3492","長盛","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120519","170008",""
"1120831","3498","陽程","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120419","125023",""
"1120831","3499","環天科","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120419","173923",""
"1120831","3508","位速","常會","1120619","1120421","1120619","","","","","0","0.00","0","0","","0","1120508","111012",""
"1120831","3511","矽瑪","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120315","110237",""
"1120831","3512","皇龍","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120324","111509",""
"1120831","3516","亞帝歐","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120322","175407",""
"1120831","3520","華盈","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120515","95340",""
"1120831","3521","鴻翊","臨時會","1120906","1120808","1120906","","","","","","","0","0","","0","1120804","114547",""
"1120831","3521","鴻翊","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120519","95753",""
"1120831","3522","御頂","臨時會","1120802","1120704","1120802","","","","","","","0","0","","0","1120705","111320",""
"1120831","3522","御頂","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120505","150713",""
